CODPARC;RAZAOSOCIAL;NOMEPARC;NOMECID;UF;CODREG;NOMEREG;NUNOTAPEDIDO;DTNEG;VLRPEDIDO;TOTAL_CAIXASPEDIDO;PESO_PEDIDO;NUNOTAVENDA;DTFATURAMENTO;VLRNOTA;TOTAL_CAIXASFATUR;PESO_NOTA;DTENTREGA;DIAS;FATURADOENTREGA;PEDIDOENTREGA;SEQUENCIA;STATUS;STATUS_DESC
446;G A GOIS SUPERMERCADOS LTDA.;REDE MAIS PARNAMIRIM SERVE BEM CENTRO ;Parnamirim;RN;10100400;RN - PARNAMIRIM;291975;2025-11-15 00:00:00;2468.64;46;167.928;292559;2025-11-18 00:00:00;2468.64;46;167.928;2025-11-19 00:00:00;3;1;4;32;1;Entregue
997;OESTE FRIOS ATACADISTA LTDA;OESTE FRIOS ATACADISTA;Pau dos Ferros;RN;10101500;RN - AUTO-OESTE;289082;2025-11-06 00:00:00;715.68;17;134.7;289676;2025-11-07 00:00:00;715.68;17;134.7;2025-11-10 00:00:00;1;3;4;7;1;Entregue
379;O SACOLAO SUPERMERCADO LTDA;SUP. O SACOLAO - REDE COMPREMAIS;QUEIMADAS;PB;10200700;PB - INFERIOR CG;289524;2025-11-07 00:00:00;8500.32;262;1558.116;289818;2025-11-07 00:00:00;8500.32;262;1558.116;2025-11-12 00:00:00;0;5;5;32;1;Entregue
5604;SUPERMERCADO NORDESTAO LTDA;NORDESTAO DOZE ANOS;Mossoro;RN;10101300;RN - MOSSORÓ;292268;2025-11-17 00:00:00;1772.34;46;307.638;293529;2025-11-21 00:00:00;1772.34;46;307.638;;4;;;11;0;Em Rota
852;MARIA DA LUZ ANDRADE DA SILVA PONTES;MERC. E PANIF. POTENGI;São Tomé;RN;10101800;RN - TRAIRI;292390;2025-11-17 00:00:00;1082.28;24;140.664;294045;2025-11-24 00:00:00;1082.28;24;140.664;;7;;;17;0;Em Rota
265;ARMAZEM MATEUS S.A.;ARMAZEM MIX MATEUS CD SAO LUIS;Sao Luis;MA;10800200;PI|MA-GRANDE SÃO LUÍ;290140;2025-11-10 00:00:00;10980.0;300;1944;290141;2025-11-10 00:00:00;10980.0;300;1944;2025-11-18 00:00:00;0;8;8;2;1;Entregue
930;G1 SUPERMERCADOS LTDA;LIGZARB AUTOSSERVICO CAICO;Caico;RN;10101200;RN - SERIDÓ 2;291073;2025-11-12 00:00:00;1648.92;55;418.236;291749;2025-11-14 00:00:00;1582.68;54;407.964;;2;;;9;0;Em Rota
509;QUEIROZ ATACADAO LTDA;QUEIROZ ATACADAO LESTE OESTE NOVO;Mossoro;RN;10101300;RN - MOSSORÓ;293433;2025-11-21 00:00:00;5009.76;213;1666.512;293519;2025-11-21 00:00:00;5009.76;213;1666.512;;0;;;3;0;Em Rota
537;REBOUCAS SUPERMERCADO LTDA;REBOUCAS SANTO ANTONIO;Mossoro;RN;10101300;RN - MOSSORÓ;293148;2025-11-20 00:00:00;1393.89;50;540;293537;2025-11-21 00:00:00;1393.89;50;540;;1;;;1;0;Em Rota
992;J. M. DE ARAUJO MERCEARIA;SUPERBOX MARIA DAS GRACAS;JARDIM DO SERIDO;RN;10101200;RN - SERIDÓ 2;291062;2025-11-12 00:00:00;2521.28;67;292.932;291617;2025-11-14 00:00:00;2308.88;63;271.98;2025-11-19 00:00:00;2;5;7;37;1;Entregue
1313;COMERCIAL OLIVEIRA & AVELINO LTDA;COMERCIAL AVELINO;Natal;RN;10100101;RN - NATAL NORTE;288128;2025-11-04 00:00:00;20254.56;412;2686.206;288872;2025-11-05 00:00:00;226.8;10;104.42;2025-11-06 00:00:00;1;1;2;1;1;Entregue
6064;GABRIELA F DA COSTA CARVALHO;JOKINHA SUP. E PADARIA;LAGOA DE VELHOS;RN;10101800;RN - TRAIRI;293320;2025-11-21 00:00:00;556.32;13;60.588;294043;2025-11-24 00:00:00;556.32;13;60.588;;3;;;11;0;Em Rota
532;CAVALCANTE & MATOS SUPERMERCADO LTDA;SUP. SAO FRANCISCO-R. QUERO BEM;MAJOR SALES;RN;10101500;RN - AUTO-OESTE;293339;2025-11-21 00:00:00;575.75;19;238.548;293498;2025-11-21 00:00:00;549.73;18;225.906;;0;;;7;0;Em Rota
5322;ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA;MEGA ATACADISTA - FILIAL SUPERFRANGOLANDIA;Fortaleza;CE;10700100;CE - OPERADOR LOGÍST;290187;2025-11-10 00:00:00;4428.08;96;489.124;290205;2025-11-10 00:00:00;4347.5;95;487.612;;0;;;45;0;Em Rota
5836;ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA;ANCORA DISTRIBUIDORA ARACATI  - FRANGOLADIA LJ05;ARACATI;CE;10700100;CE - OPERADOR LOGÍST;290262;2025-11-10 00:00:00;2883.63;58;215.928;290320;2025-11-10 00:00:00;2835.39;57;215.184;;0;;;52;0;Em Rota
627;SUPERMERCADO MONTEALEGRENSE LTDA;MONTEALEGRENSE PIRANGI DO NT-R.SUPER SHOW;Parnamirim;RN;10100400;RN - PARNAMIRIM;292954;2025-11-19 00:00:00;2461.2;56;209.874;293746;2025-11-21 00:00:00;2397.12;55;208.23;;2;;;31;0;Em Rota
122;SENDAS DISTRIBUIDORA S/A;ASSAI ITABAIANA SE LJ 147;ITABAIANA;SE;10500100;SE|BA-SERGIP+PAULO A;290524;2025-11-11 00:00:00;5986.8;530;3424.272;293047;2025-11-19 00:00:00;5986.8;530;3424.272;;8;;;3;0;Em Rota
5835;ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA;ANCORA DISTRIBUIDORA MONTE CASTELO - FRANGOLADIA  LJ04;Fortaleza;CE;10700100;CE - OPERADOR LOGÍST;290408;2025-11-10 00:00:00;1514.28;31;102.762;290474;2025-11-11 00:00:00;1466.04;30;102.018;;1;;;30;0;Em Rota
420;SUPERMERCADO TODO DIA LTDA;SUP. TODO DIA  MATRIZ LJ 01-SBC ATACADO;Extremoz;RN;10100300;RN - EXTREMOZ;288302;2025-11-04 00:00:00;2533.08;73;553.584;288585;2025-11-05 00:00:00;1726.68;43;318.864;2025-11-06 00:00:00;1;1;2;16;1;Entregue
525;COMERCIAL QUEIROZ & CIA LTDA;QUEIROZ SANTA DELMIRA II;Mossoro;RN;10101300;RN - MOSSORÓ;289059;2025-11-06 00:00:00;1353.36;47;302.148;289765;2025-11-07 00:00:00;994.8;41;237.78;2025-11-12 00:00:00;1;5;6;17;1;Entregue
490;ECILDO ROBERTO MONTEIRO ALVES;SUP. MONTEIRO-REDE OESTE;APODI;RN;10101500;RN - AUTO-OESTE;293171;2025-11-20 00:00:00;204.4;4;48.48;293474;2025-11-21 00:00:00;204.4;4;48.48;;1;;;2;0;Em Rota
4749;INDUSTRIA COMERCIAL FRIGORIFICA POTIGUAR LTDA;NORDESTAO CD - CENTRAL CARNES;Parnamirim;RN;10100400;RN - PARNAMIRIM;288521;2025-11-05 00:00:00;16488.0;75;976.95;289330;2025-11-07 00:00:00;15828.48;72;937.872;2025-11-10 00:00:00;2;3;5;1;1;Entregue
107;SUPERMERCADO NORDESTAO LTDA;NORDESTAO TIROL LJ 7;Natal;RN;10100102;RN - NATAL SUL;290728;2025-11-11 00:00:00;639.6;41;240.192;291816;2025-11-14 00:00:00;639.6;41;240.192;2025-11-17 00:00:00;3;3;6;3;1;Entregue
564;H. CANTALICE DE ARAUJO & CIA LTDA;SUP. IRMAOS CANTALICE - REDE SERIDO;EQUADOR;RN;10101200;RN - SERIDÓ 2;291075;2025-11-12 00:00:00;2692.18;68;392.972;291615;2025-11-14 00:00:00;2582.74;66;382.148;2025-11-20 00:00:00;2;6;8;33;1;Entregue
487;SUPERMERCADO PAI E FILHO LTDA;MERC. PAI E FILHO-REDE OESTE;Umarizal;RN;10101500;RN - AUTO-OESTE;288809;2025-11-05 00:00:00;1672.5;37;276.606;289710;2025-11-07 00:00:00;240.0;10;78.24;2025-11-18 00:00:00;2;11;13;1;1;Entregue
4518;E FERNANDES PINHEIRO LTDA;FRICARNES JOAO CAMARA;Joao Camara;RN;10101700;RN - SALINEIRA 2;290664;2025-11-11 00:00:00;515.64;11;38.73;293585;2025-11-21 00:00:00;515.64;11;38.73;;10;;;9;0;Em Rota
5605;SUPERMERCADO NORDESTAO LTDA;SUPERFACIL ALTO DE SAO MANOEL;Mossoro;RN;10101300;RN - MOSSORÓ;292187;2025-11-17 00:00:00;1090.0;25;228.92;293521;2025-11-21 00:00:00;1090.0;25;228.92;;4;;;5;0;Em Rota
