CODWCP;LINHA;DESCRPROD;SEGUNDA;TERCA;QUARTA;QUINTA;SEXTA;SABADO;DOMINGO;DHAPO;SEQ;QTDAPONTADA;TOTALSEMANA;SALDOSEMANA
3;TEMPERO 500 1 & 2;2 - TEMPERO COMPLETO ESPECIAL 500G SADIO;0;0;470;0;0;0;0;;3;0;470;470
3;TEMPERO 500 1 & 2;4 - TEMPERO SEM PIMENTA 500G SADIO;0;0;940;0;0;0;0;;4;0;940;940
5;MOLHINHO 150 1;12 - MOLHO DE ALHO 150ML SADIO;0;0;1675;0;0;0;0;2026-04-08 15:51:16;1;1512;1675;163
127;60-5000 MANUAL LIQUIDO 1;2266 - VINAGRE DE ALCOOL 5L SADIO;0;0;378;0;0;0;0;2026-04-08 16:41:48;1;63;378;315
1;VINAGRE 500 1;3172 - VINAGRE DE ALCOOL 500ML LETO;0;0;10000;0;0;0;0;2026-04-08 16:28:31;1;6600;10000;3400
14;TEMPERO SECO MANUAL 1;3337 - LOURO PC 4G SADIO;0;0;50;0;0;0;0;2026-04-08 07:35:30;1;3;50;47
127;60-5000 MANUAL LIQUIDO 1;3924 - MOLHO SHOYU 5L SADIO;0;0;252;0;0;0;0;2026-04-08 14:08:44;2;186;252;66
6;ADOÇANTE 100 1;7528 - ADOCANTE LIQUIDO SUCRALOSE 100ML SADIO;0;0;270;0;0;0;0;2026-04-08 11:00:37;2;110;270;160
9;CATCHUP 750-800-830;8139 - VINAGRE DE ALCOOL 750ML SADIO;0;0;588;0;0;0;0;2026-04-08 14:22:18;1;326;588;262
8;MOLHO DE TOMATE 300 1 & 2;8148 - MOLHO DE TOMATE TRADICIONAL 300G SADIO;0;0;3200;0;0;0;0;2026-04-08 16:43:16;1;2295;3200;905
15;CATCHUP SACHE 6G 1;8272 - BARBECUE TRADICIONAL 3,4KG SADIO;0;0;350;0;0;0;0;2026-04-08 16:24:23;1;120;350;230
9;CATCHUP 750-800-830;9025 - CATCHUP TRADICIONAL 800G LETO;0;0;472;0;0;0;0;2026-04-08 15:50:04;2;362;472;110
15;CATCHUP SACHE 6G 1;9074 - MOSTARDA AMARELA 3,3KG SADIO;0;0;60;0;0;0;0;2026-04-08 10:25:21;2;48;60;12
3;TEMPERO 500 1 & 2;9654 - TEMPERO GOURMET CARNES 500G MR MAKER;0;0;920;0;0;0;0;2026-04-08 15:45:20;2;792;920;128
3;TEMPERO 500 1 & 2;9655 - TEMPERO GOURMET ALHO E CEBOLA 500G MR MAKER;0;0;920;0;0;0;0;2026-04-08 14:04:49;1;929;920;-9
10;TEMPERO PÓ 1;9664 - TEMPERO PO FEIJAO 50G SADIO;0;0;350;0;0;0;0;;1;0;350;350
14;TEMPERO SECO MANUAL 1;9684 - SAL DE PARRILLA TRADICIONAL 450G MR MAKER;0;0;110;0;0;0;0;2026-04-08 16:38:52;2;103;110;7
129;500 MANUAL LIMPA ALUMÍNIO;9884 - LIMPA ALUMINIO 500ML TANLUX;0;0;630;0;0;0;0;2026-04-08 16:44:05;1;436;630;194
19;2000-3000-5000 MANUAL LIMPEZA 1;9887 - DETERGENTE NEUTRO 5L TANLUX;0;0;126;0;0;0;0;2026-04-08 15:21:44;3;95;126;31
19;2000-3000-5000 MANUAL LIMPEZA 1;9896 - AMACIANTE FLORAL 5L TANLUX;0;0;30;0;0;0;0;2026-04-08 15:19:23;4;24;30;6
19;2000-3000-5000 MANUAL LIMPEZA 1;9902 - LAVA ROUPA COMFORT BLUE 3L TANLUX;0;0;710;0;0;0;0;2026-04-08 16:00:00;1;640;710;70
13;TEMPERO SECO SACHE 1;9957 - PAPRICA DOCE PC 30G SADIO;0;0;170;0;0;0;0;;1;0;170;170
